IDCliente,Edad,Género,Ingresos,ScoreCrediticio,Transacciones,PagosAtrasados,DeudaEnOtrosBancos,MontoDePagoDeDeudasMensuales,MontoDePagoMensualEnTarjetaCredito,EstabilidadLaboralEnAnos,ViveEnZonaRiesgosa,SeAtrasoMasDeUnaVez
1,33,M,2031.0,762,5,4,36345,1446,4186.0,0.0,Sí,0
2,30,M,2241.0,729,4,3,14739,3966,4215.0,0.0,No,0
3,46,M,2742.0,636,23,2,22870,4368,981.0,0.0,No,0
4,26,M,6709.0,795,12,2,32341,5317,4302.0,0.0,No,0
5,43,F,6999.0,661,19,2,29471,7246,4501.0,0.0,No,1
6,45,M,12830.0,731,15,0,11590,3029,2171.0,0.0,Sí,1
7,58,M,13591.0,819,25,2,18645,8232,111.0,0.0,No,1
8,30,M,5090.0,705,13,2,1023,5892,4709.0,0.0,Sí,1
9,53,M,14778.0,676,5,4,26155,7190,1409.0,0.0,Sí,1
10,26,M,11167.0,451,12,2,24897,4804,705.0,0.0,No,0
11,64,M,9160.0,621,19,2,15437,6379,2779.0,0.0,No,0
12,31,M,7883.0,513,2,4,11318,8317,4199.0,0.0,No,0
13,68,F,13375.0,364,7,0,43791,777,2600.0,0.0,Sí,0
14,29,F,6129.0,569,28,3,31575,9027,2615.0,0.0,Sí,0
15,49,M,5403.0,836,23,4,48198,9070,4857.0,0.0,No,0
16,55,F,7577.0,399,28,0,40003,4489,2974.0,0.0,No,0
18,69,F,1163.0,430,5,2,20141,7281,2943.0,0.0,Sí,1
19,33,M,4310.0,688,20,4,40836,9028,3220.0,0.0,No,1
20,37,M,4388.0,620,29,2,1284,8716,168.0,0.0,No,0
21,49,F,,737,11,4,28094,9443,984.0,,No,0
22,40,M,14646.0,318,18,3,14466,7688,1107.0,0.0,Sí,0
23,34,F,7161.0,524,18,0,38121,4241,2567.0,0.0,Sí,1
24,33,M,14382.0,759,7,4,903,7330,106.0,0.0,No,0
25,55,M,14486.0,693,10,0,42137,8926,4980.0,0.0,Sí,0
26,25,M,2877.0,525,23,2,41289,6871,2705.0,0.0,Sí,0
27,36,M,11015.0,659,20,2,42849,168,2078.0,0.0,Sí,0
28,47,F,14098.0,729,14,3,16365,9340,3618.0,0.0,No,0
29,51,M,9103.0,314,20,3,22394,8491,4342.0,0.0,No,0
30,31,F,11487.0,845,20,1,15971,5033,2973.0,0.0,No,1
31,39,F,4264.0,713,11,1,42827,521,1553.0,0.0,Sí,1
32,61,M,2348.0,654,2,3,43475,8809,2002.0,0.0,Sí,1
